dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_f1
069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,26,1,sigma,3.0,range,0.09302325581395349
071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,233,1,sigma,3.0,range,0.7613168724279835
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,233,1,sigma,3.0,range,0.6017964071856288
074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,188,1,sigma,3.0,range,0.5569044006069803
075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x2,Context x2,189,1,sigma,3.0,range,0.6132231404958678
084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,108,1,sigma,3.0,range,0.6047904191616766
085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,108,1,sigma,3.0,range,0.3482758620689655
094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,81,1,sigma,3.0,range,0.7613636363636364
095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,24,1,sigma,3.0,range,0.47619047619047616
096_UCR_Anomaly_NOISEECG4_5000_16900_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,166,1,sigma,3.0,range,0.7930174563591023
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,218,1,sigma,3.0,range,0.423963133640553
098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,183,1,sigma,3.0,range,0.16883116883116883
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Wide Sample,Wide Sample,154,1,sigma,3.0,range,0.8431372549019608
100_UCR_Anomaly_NOISELab2Cmac011215EPG1_5000_17210_17260,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,34,1,sigma,3.0,range,0.6257668711656442
101_UCR_Anomaly_NOISELab2Cmac011215EPG4_6000_17390_17520,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,34,1,sigma,3.0,range,0.30965391621129323
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Warmup 0.20,Warmup 0.20,46,1,sigma,3.0,range,0.5914396887159533
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,98,1,sigma,3.0,range,0.697841726618705
104_UCR_Anomaly_NOISEapneaecg4_6000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,40,1,sigma,3.0,range,0.40298507462686567
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,26,1,sigma,3.0,range,0.00684931506849315
112_UCR_Anomaly_BIDMC1_2500_5400_5600,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,81,1,sigma,3.0,range,0.7599243856332704
113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,24,1,sigma,3.0,range,0.025157232704402517
