regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
anomaly_ratio_bucket,moderate,SAND | Init 3000,21,0.8918147985688194,0.5032224672300557,0.5229343571847219,0.5229343571847219,12.642060242853837
anomaly_ratio_bucket,sparse,SAND | Subseq x2,29,0.9760181811705998,0.21077029234612413,0.18717629916459716,0.18717629916459716,2.658520431041011
anomaly_ratio_bucket,sparse,SAND | Init 3000,29,0.9770216383520424,0.18360177979185385,0.174357777408768,0.174357777408768,12.094972758618152
anomaly_ratio_bucket,sparse,SAND | Baseline,29,0.9757773303311347,0.17986747062666075,0.15791962612846352,0.15791962612846352,9.70093465517556
anomaly_ratio_bucket,sparse,SAND | Alpha 0.7,29,0.9768115161553677,0.17837504613228525,0.1565111317527068,0.1565111317527068,9.57268918620559
anomaly_ratio_bucket,sparse,SAND | k = 3,29,0.974477442840081,0.17632687040537112,0.1466792373018004,0.1466792373018004,3.7193435275814783
anomaly_ratio_bucket,sparse,SAND | Batch 1000,29,0.973884832998483,0.16652427117005528,0.1449623194756275,0.1449623194756275,10.02291272759261
anomaly_ratio_bucket,sparse,Matrix Profile | Subseq x1,29,0.9648834422867417,0.20981475819731768,0.13042217955884228,0.13042217955884228,0.12799175173156604
anomaly_ratio_bucket,sparse,Matrix Profile | Subseq x4,29,0.9359866116264647,0.1907984720012978,0.11524289126680375,0.11524289126680375,0.12393753448147969
anomaly_ratio_bucket,sparse,Matrix Profile | Baseline,29,0.979360516028214,0.17740491932443894,0.10793795902089467,0.10793795902089467,0.11054780000041978
anomaly_ratio_bucket,sparse,OCSVM | Gamma 0.1,29,0.599533371563967,0.11709660198639471,0.10226800642820995,0.10226800642820995,0.07643625516934192
anomaly_ratio_bucket,sparse,Local Outlier Factor | Metric manhattan,29,0.9151761828888072,0.17569031909534003,0.0887393054614745,0.0887393054614745,1.0550518655137897
anomaly_ratio_bucket,sparse,Local Outlier Factor | p = 1,29,0.9151761828888072,0.17569031909534003,0.0887393054614745,0.0887393054614745,1.0789152689695616
anomaly_ratio_bucket,sparse,Local Outlier Factor | Baseline,29,0.9250793533356754,0.1832820179974417,0.07971557033419438,0.07971557033419438,0.193314972407875
anomaly_ratio_bucket,sparse,Local Outlier Factor | Leaf size 60,29,0.9250793533356754,0.1832820179974417,0.07971557033419438,0.07971557033419438,0.14589336206775222
anomaly_ratio_bucket,sparse,Local Outlier Factor | Search brute,29,0.9250793533356754,0.1832820179974417,0.07971557033419438,0.07971557033419438,0.15157103448391668
anomaly_ratio_bucket,sparse,HBOS | Bins 20,29,0.7517568785252983,0.07147954198999354,0.07819783173909889,0.07819783173909889,0.23423022414549607
anomaly_ratio_bucket,sparse,DAMP | x_lag x8,29,0.8713414530283408,0.09835100653072398,0.07810771637671193,0.07810771637671193,14.713894168972761
