algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,run_count,success_count,mean_roc_auc,median_roc_auc,mean_average_precision,median_average_precision,mean_precision,mean_recall,mean_f1,median_f1,mean_evaluation_precision,mean_evaluation_recall,mean_evaluation_f1,median_evaluation_f1,mean_precision_at_k,mean_range_precision,mean_range_recall,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds,median_runtime_seconds,success_rate
sand,SAND,Distance-based,Clustering,SAND | Overlap 64,Overlap 64,sand__tab_07,range,50,50,0.942076572835317,0.9914696168009695,0.4610543926266751,0.4310180925083845,0.2984126703516001,0.5979586322141381,0.340536217467959,0.2923769923769924,0.2804344322123676,0.6064485384243717,0.3294909444700373,0.2559589632132484,0.394574609807558,0.2804344322123676,0.6064485384243717,0.3294909444700373,0.7679958503418579,0.8874116601783223,22.56016030999599,9.209893350023776,1.0
damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,range,50,50,0.8903664888328083,0.9509162976807195,0.24395835059563942,0.13937543024469456,0.1823414278666069,0.3068533855939347,0.20307766707223832,0.007246376811594203,0.17603530133419032,0.3003666751711655,0.17394922447535743,0.02097902097902098,0.208724770354733,0.17603530133419032,0.3003666751711655,0.17394922447535743,0.7817264947907236,0.6419876857451697,19.586006570003228,6.663591799995629,1.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,range,50,50,0.7267299826263377,0.8408766416958,0.25851665860685313,0.08697809152540134,0.22901089278713418,0.2454613469533083,0.19971972015311668,0.04793296089385475,0.1822546533701228,0.28400746415455097,0.17274711523435848,0.05849368269609032,0.23505146278585926,0.1822546533701228,0.28400746415455097,0.17274711523435848,0.7361316365307443,0.8248550879848605,0.09215558000141755,0.10161135002272204,1.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,range,50,50,0.7258406001241802,0.8446572730221709,0.25927849979731155,0.08439880478980319,0.2269518067931289,0.2494162230904663,0.198472011882244,0.06202585746340421,0.1811845376127242,0.2846598612071514,0.1716288165933202,0.0474799855120455,0.23633705369443342,0.1811845376127242,0.2846598612071514,0.1716288165933202,0.7245335695767887,0.8358784193418383,0.12008126000408083,0.12308710001525469,1.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Bootstrap on,Bootstrap on,isolation_forest__tab_05,range,50,50,0.7401928521533883,0.8804152498861731,0.24605475025575427,0.024989720901833323,0.241655927066517,0.23739809354290156,0.2019388212743946,0.0,0.2009607863065148,0.23726444934687463,0.1697507499841494,0.0,0.2240301018710106,0.2009607863065148,0.23726444934687463,0.1697507499841494,0.7707698237554254,0.7803077518861882,0.5020563880051486,0.44925370000419207,1.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,range,50,50,0.824061590988025,0.9665647374856359,0.2762889914821301,0.12333916087015404,0.18742813639604505,0.4927116670713261,0.22532923678932634,0.13935770327203006,0.1487457300977339,0.5137754151206128,0.16750252581753128,0.08542757796884794,0.2548429594701179,0.1487457300977339,0.5137754151206128,0.16750252581753128,0.736667632602813,0.9766183682854794,0.22642987399827688,0.1453534500033129,1.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Leaf size 60,Leaf size 60,local_outlier_factor__tab_04,range,50,50,0.824061590988025,0.9665647374856359,0.2762889914821301,0.12333916087015404,0.18742813639604505,0.4927116670713261,0.22532923678932634,0.13935770327203006,0.1487457300977339,0.5137754151206128,0.16750252581753128,0.08542757796884794,0.2548429594701179,0.1487457300977339,0.5137754151206128,0.16750252581753128,0.736667632602813,0.9766183682854794,0.16685318799922244,0.15445625002030283,1.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Search brute,Search brute,local_outlier_factor__tab_03,range,50,50,0.824061590988025,0.9665647374856359,0.2762889914821301,0.12333916087015404,0.18742813639604505,0.4927116670713261,0.22532923678932634,0.13935770327203006,0.1487457300977339,0.5137754151206128,0.16750252581753128,0.08542757796884794,0.2548429594701179,0.1487457300977339,0.5137754151206128,0.16750252581753128,0.736667632602813,0.9766183682854794,0.16850105199846438,0.1424667999963276,1.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,range,50,50,0.7368966495222196,0.8785142409474672,0.2342385991752669,0.020387108651337305,0.23978218034158147,0.23525585827614948,0.2010582603243586,0.0,0.2201998096014387,0.21791860698661616,0.16745021150260628,0.0,0.214347553802976,0.2201998096014387,0.21791860698661616,0.16745021150260628,0.7583809487348933,0.7949312648315489,0.5725397039984819,0.4975997500005178,1.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Max samples auto,Max samples auto,isolation_forest__tab_03,range,50,50,0.7368966495222196,0.8785142409474672,0.2342385991752669,0.020387108651337305,0.23978218034158147,0.23525585827614948,0.2010582603243586,0.0,0.2201998096014387,0.21791860698661616,0.16745021150260628,0.0,0.214347553802976,0.2201998096014387,0.21791860698661616,0.16745021150260628,0.7583809487348933,0.7949312648315489,0.53697607799666,0.4978310500155203,1.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Metric manhattan,Metric manhattan,local_outlier_factor__tab_05,range,50,50,0.8217941036495625,0.9487046005677535,0.2522301409406163,0.11781088733094897,0.18035892243707732,0.4340832629791078,0.2140324116978278,0.13511095204008589,0.1439395668046001,0.4489993294861157,0.15421384318474407,0.09763557340503302,0.2391060825278904,0.1439395668046001,0.4489993294861157,0.15421384318474407,0.7019605304364177,0.9633187914443099,1.5393259999947622,1.6207454999967013,1.0
