family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
InternalBleeding,SAND | Init 3000,Distance-based,Clustering,range,28,0.9400480372217094,0.45418255140682195,0.47110249712351787,0.47110249712351787,0.8962587054986343,0.8747392521030604,18.80544941428317
WalkingAceleration,SAND | Overlap 64,Distance-based,Clustering,range,4,0.8155953297030619,0.32068155111633373,0.36908688707469195,0.36908688707469195,0.6046889451063598,0.6975650807899462,13.724307349999435
WalkingAceleration,HBOS | Baseline,Density-based,Distribution,range,4,0.5394959990825436,0.3438649500788229,0.34386495007882295,0.34386495007882295,0.9936486541765899,0.5,0.31077105000440497
WalkingAceleration,HBOS | Tol 0.2,Density-based,Distribution,range,4,0.5394959990825436,0.3438649500788229,0.34386495007882295,0.34386495007882295,0.9936486541765899,0.5,0.3086438500031363
WalkingAceleration,HBOS | Bins 20,Density-based,Distribution,range,4,0.541049029486062,0.3438423645320197,0.34384236453201966,0.34384236453201966,0.9936492921607483,0.5,0.32224242502707057
WalkingAceleration,HBOS | Alpha 0.05,Density-based,Distribution,range,4,0.5400721192179321,0.34092009685230024,0.3409200968523002,0.3409200968523002,0.9935173899033082,0.5,0.32149575000221375
WalkingAceleration,PCA | Baseline,Density-based,Encoding,range,4,0.5291975986728084,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.06812229999923147
WalkingAceleration,PCA | Components 0.95,Density-based,Encoding,range,4,0.5291309484867592,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.0554179250029847
WalkingAceleration,PCA | Score comps 2,Density-based,Encoding,range,4,0.5291937963460621,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.030978450027760118
WalkingAceleration,PCA | Standardize off,Density-based,Encoding,range,4,0.5293050679338467,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.05075167502218392
WalkingAceleration,PCA | Weighted off,Density-based,Encoding,range,4,0.5292073636667924,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.06700005001039244
WalkingAceleration,PCA | Whiten on,Density-based,Encoding,range,4,0.5291975986728084,0.3269779044903778,0.3269779044903778,0.3269779044903778,0.9928316098835395,0.5,0.0710464250005316
WalkingAceleration,Isolation Forest | Seed 7,Density-based,Tree,range,4,0.5283304505430949,0.32432432432432434,0.32432432432432434,0.32432432432432434,0.818048075004987,0.8238330341113106,0.46275970003625844
WalkingAceleration,Isolation Forest | Bootstrap on,Density-based,Tree,range,4,0.523482977821854,0.33064124362399805,0.265636981049403,0.265636981049403,0.8198954719210546,0.8257031717534411,0.41558227498899214
WalkingAceleration,Isolation Forest | Trees 400,Density-based,Tree,range,4,0.5245401941474328,0.32608695652173914,0.26172768878718533,0.26172768878718533,0.8192781429573431,0.823608617594255,0.8670773250050843
WalkingAceleration,Isolation Forest | Max feat 0.6,Density-based,Tree,range,4,0.5290153506239019,0.32440963292027125,0.25891221642947726,0.25891221642947726,0.8762745379772156,0.6620287253141831,1.0894490999926347
WalkingAceleration,OCSVM | Gamma 0.1,Density-based,Distribution,range,4,0.8425113094790261,0.3105967531615339,0.2178563240072892,0.2178563240072892,0.8603382755925022,0.9937478396685857,0.08101270001498051
