dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995,53,WalkingAceleration,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,115,1,6684,232,1500,2764,2995,zscore,sigma,3.0,range,datasets\normalized\zscore,0.053661599988117814,0.38611536826375553,0.22958648148717406,"{""subsequence_multiplier"": 2}",,,,,,,0.6275376386899545,0.042710696564667076,0.0,0.0,0.0,0.0,1.0748748127252776,0,6452,0,232,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979,162,WalkingAceleration,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,115,1,6684,60,2700,5920,5979,zscore,sigma,3.0,range,datasets\normalized\zscore,0.07054070004960522,0.4603633617497943,0.2729709054553545,"{""subsequence_multiplier"": 4}",,,,,,,0.9782180958132045,0.18209336471279106,0.0,0.0,0.0,0.18333333333333332,1.2792760781158579,0,6624,0,60,0.0,0.0,0.0,0.0,0.0,,0.0,115,0.0,0.0,0.0,,,,,,,,,,4.0,,,,,,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.14330579998204485,0.0939781462340879,0.1840146584100249,"{""subsequence_multiplier"": 2}",,,,,,,0.9856987274332049,0.6978258687792311,0.7664670658682635,0.713091922005571,0.7388167388167388,0.7688022284122563,0.6460221214641626,256,6884,78,103,0.7664670658682635,0.7704735376044569,0.7684650797337218,1.0,0.713091922005571,0.9860601158017254,0.9959634569002286,178,0.7664670658682635,0.7704735376044569,0.7684650797337218,,,,,,,,,,2.0,,,,,,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.1350098000257276,0.06737567826460565,0.11184588938955203,"{""subsequence_multiplier"": 1}",,,,,,,0.903903922527305,0.7177302021680003,0.8672566371681416,0.5459610027855153,0.67008547008547,0.7214484679665738,0.40291334643326177,196,6932,30,163,0.48756218905472637,0.6367688022284123,0.5522651132864788,1.0,0.5459610027855153,0.9924631892978497,0.9898909497956617,178,0.48756218905472637,0.6367688022284123,0.5522651132864788,,,,,,,,,,1.0,,,,,,,,,,,,,,
032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033,32,InternalBleeding,distorted,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.15188479999778792,0.152251053149938,0.2637301412977625,"{""subsequence_multiplier"": 4}",,,,,,,0.9945261943267031,0.8815872932163121,0.7787418655097614,1.0,0.875609756097561,0.7855153203342619,0.9434414770432256,359,6860,102,0,0.4253554502369668,1.0,0.5968412302576891,1.0,1.0,0.9845190239589497,1.0,178,0.4253554502369668,1.0,0.5968412302576891,,,,,,,,,,4.0,,,,,,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16062189999502152,0.0758464511889778,0.1919200168233067,"{""subsequence_multiplier"": 2}",,,,,,,0.9829134121642439,0.649789902738088,0.7687861271676301,0.7409470752089137,0.7546099290780142,0.7688022284122563,0.6516065016588979,266,6882,80,93,0.7687861271676301,0.7927576601671309,0.7805878980602746,1.0,0.7409470752089137,0.9861353790228916,0.9967092033867544,178,0.7687861271676301,0.7927576601671309,0.7805878980602746,,,,,,,,,,2.0,,,,,,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16055289999349043,0.04221064782216754,0.12344316700376909,"{""subsequence_multiplier"": 1}",,,,,,,0.923807833851733,0.7487431955850828,0.7824427480916031,0.5710306406685237,0.6602254428341385,0.7298050139275766,0.4125401488334748,205,6905,57,154,0.7824427480916031,0.656824512534819,0.714151694631046,1.0,0.5710306406685237,0.987637779429874,0.9909764675130383,178,0.7824427480916031,0.656824512534819,0.714151694631046,,,,,,,,,,1.0,,,,,,,,,,,,,,
140_UCR_Anomaly_InternalBleeding4_1000_4675_5033,140,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,178,1,7321,359,1000,4675,5033,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16002099995967,0.15191290165824636,0.2630570717811649,"{""subsequence_multiplier"": 4}",,,,,,,0.9890671924550224,0.6776012924525603,0.6679920477137177,0.935933147632312,0.7795823665893271,0.7493036211699164,0.941084117001741,336,6795,167,23,0.36803118908382065,0.5743732590529248,0.448612639562848,1.0,0.467966573816156,0.9753333570493443,0.9998993622726091,178,0.36803118908382065,0.5743732590529248,0.448612639562848,,,,,,,,,,4.0,,,,,,,,,,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Baseline,Baseline,matrix_profile__tab_01,1,auto,auto_ablation,Balanced discord context for one-factor ablation.,baseline,baseline,Baseline,baseline,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16360720002558082,0.04236296481148696,0.1365641041146687,"{""subsequence_multiplier"": 2}",,,,,,,0.9972592764812823,0.907783095069459,0.61003861003861,0.9239766081871345,0.7348837209302326,0.7719298245614035,0.4520552771554931,158,7143,101,13,0.61003861003861,0.9391812865497076,0.739645608583746,1.0,0.9239766081871345,0.9856952800985168,0.9998667155639155,173,0.61003861003861,0.9391812865497076,0.739645608583746,,,,,,,,,,2.0,,,,,,,,,,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x1,Subseq x1,matrix_profile__tab_02,2,auto,auto_ablation,Measures a shorter discord context focused on local deviations.,ablation,subsequence_multiplier,Subseq x1,score_driver,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.17033380002249032,0.024322924796242974,0.09342293253251846,"{""subsequence_multiplier"": 1}",,,,,,,0.952990738857082,0.7270745559713695,0.6845238095238095,0.672514619883041,0.6784660766961652,0.6842105263157895,0.3045917223937984,115,7191,53,56,0.6845238095238095,0.7380116959064329,0.7102621700851063,1.0,0.672514619883041,0.9904697684873005,0.9975267456120634,173,0.6845238095238095,0.7380116959064329,0.7102621700851063,,,,,,,,,,1.0,,,,,,,,,,,,,,
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,3,auto,auto_ablation,Measures a broader discord context for long anomalous structure.,ablation,subsequence_multiplier,Subseq x4,score_driver,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.17715119995409623,0.0927883335885795,0.23120726337670194,"{""subsequence_multiplier"": 4}",,,,,,,0.9916438205766578,0.7259798230084586,0.39400921658986177,1.0,0.5652892561983471,0.5730994152046783,0.7864101237186853,171,6981,263,0,0.39400921658986177,1.0,0.5652892561983471,1.0,1.0,0.9738163083300447,1.0,173,0.39400921658986177,1.0,0.5652892561983471,,,,,,,,,,4.0,,,,,,,,,,,,,,
