dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__subsequence_multiplier,param__kernel,param__nu,param__gamma,param__train_fraction
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Wide Sample,Wide Sample,isolation_forest__tab_02,2,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.9336840000469238,0.2600395146218074,0.12326380645698315,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": ""auto"", ""n_estimators"": 400, ""random_state"": 42}",,400.0,auto,1.0,False,42.0,0.8452221802435409,0.6809390910455296,1.0,0.5614035087719298,0.7191011235955056,0.6608187134502924,0.6298309339927568,96,7244,0,75,1.0,0.28982456140350876,0.4494015233949945,1.0,0.11228070175438597,1.0,0.9969514142740533,173,1.0,0.28982456140350876,0.4494015233949945,,,,,,,,,,
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Feat 0.6,Feat 0.6,isolation_forest__tab_03,3,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,3.03042429999914,0.27295584156049435,0.12663691797073592,"{""bootstrap"": false, ""max_features"": 0.6, ""max_samples"": 256, ""n_estimators"": 400, ""random_state"": 42}",,400.0,256,0.6,False,42.0,0.8546544670160584,0.7058258226941722,1.0,0.631578947368421,0.7741935483870968,0.6783625730994152,0.6528665954727021,108,7244,0,63,1.0,0.45263157894736844,0.6231884057971014,1.0,0.3157894736842105,1.0,0.9971572559179472,173,1.0,0.45263157894736844,0.6231884057971014,,,,,,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,1,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.479026899964083,0.41657176572974736,0.1848089084991489,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": 256, ""n_estimators"": 200, ""random_state"": 42}",,200.0,256,1.0,False,42.0,0.611159764332542,0.017263702077299596,0.0,0.0,0.0,0.0,0.9709984912271941,0,7384,7,110,0.0,0.0,0.0,0.0,0.0,0.6505418325175691,0.8901479802692974,165,0.0,0.0,0.0,,,,,,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Wide Sample,Wide Sample,isolation_forest__tab_02,2,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.9728243999998085,0.3909893551366647,0.2004064251726298,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": ""auto"", ""n_estimators"": 400, ""random_state"": 42}",,400.0,auto,1.0,False,42.0,0.6211534913469698,0.01805225534200535,0.0,0.0,0.0,0.0,0.9922086306545541,0,7390,1,110,0.0,0.0,0.0,0.0,0.0,0.80655912544994,0.8066924410078655,165,0.0,0.0,0.0,,,,,,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Feat 0.6,Feat 0.6,isolation_forest__tab_03,3,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,2.9459130999748595,0.33363113470146055,0.17674525124809104,"{""bootstrap"": false, ""max_features"": 0.6, ""max_samples"": 256, ""n_estimators"": 400, ""random_state"": 42}",,400.0,256,0.6,False,42.0,0.6073861330118941,0.01715522469654657,0.0,0.0,0.0,0.0,0.8638668884457337,0,7370,21,110,0.0,0.0,0.0,0.0,0.0,0.3048831584360181,0.9066791094520731,165,0.0,0.0,0.0,,,,,,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,1,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.46236030000727624,0.3515163808237909,0.17293540268787158,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": 256, ""n_estimators"": 200, ""random_state"": 42}",,200.0,256,1.0,False,42.0,0.5014723066136948,0.013522440819242712,0.0,0.0,0.0,0.0,0.8703225888874057,0,7366,25,110,0.0,0.0,0.0,0.0,0.0,0.4444634048793495,0.887215037994934,165,0.0,0.0,0.0,,,,,,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Wide Sample,Wide Sample,isolation_forest__tab_02,2,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.9418555999873206,0.3785324298954067,0.18836262647933824,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": ""auto"", ""n_estimators"": 400, ""random_state"": 42}",,400.0,auto,1.0,False,42.0,0.5016235962657286,0.013678986621975742,0.0,0.0,0.0,0.0,0.9436203093334214,0,7381,10,110,0.0,0.0,0.0,0.0,0.0,0.2916411145180643,0.2923610185308626,165,0.0,0.0,0.0,,,,,,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Feat 0.6,Feat 0.6,isolation_forest__tab_03,3,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,2.9209452999639325,0.39793472618442716,0.18992537361943213,"{""bootstrap"": false, ""max_features"": 0.6, ""max_samples"": 256, ""n_estimators"": 400, ""random_state"": 42}",,400.0,256,0.6,False,42.0,0.506421815229825,0.013697732113169478,0.0,0.0,0.0,0.0,0.9677108470427235,0,7389,2,110,0.0,0.0,0.0,0.0,0.0,0.2905612584988669,0.2907612318357553,165,0.0,0.0,0.0,,,,,,,,,,
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,144,InternalBleeding,raw,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,1,175,1,7501,83,4200,6599,6681,zscore,sigma,3.0,range,datasets\normalized\zscore,0.4735643000458367,0.3326001989095973,0.1736906493672062,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": 256, ""n_estimators"": 200, ""random_state"": 42}",,200.0,256,1.0,False,42.0,0.21610897621220934,0.006515519273912769,0.0,0.0,0.0,0.0,0.8536721470112159,0,7358,60,83,0.0,0.0,0.0,0.0,0.0,0.49835910767453234,0.9262764964671377,175,0.0,0.0,0.0,,,,,,,,,,
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,144,InternalBleeding,raw,isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Wide Sample,Wide Sample,isolation_forest__tab_02,2,175,1,7501,83,4200,6599,6681,zscore,sigma,3.0,range,datasets\normalized\zscore,0.9714984000311233,0.32417588741844966,0.18629817606438664,"{""bootstrap"": false, ""max_features"": 1.0, ""max_samples"": ""auto"", ""n_estimators"": 400, ""random_state"": 42}",,400.0,auto,1.0,False,42.0,0.16280977238693248,0.006325272994463395,0.0,0.0,0.0,0.0,0.8830704156116096,0,7378,40,83,0.0,0.0,0.0,0.0,0.0,0.46324156779096126,0.9150779896013865,175,0.0,0.0,0.0,,,,,,,,,,
