dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,variant_origin,variant_source,variant_focus,variant_family,ablation_parameter,ablation_label,ablation_role,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__alpha,param__init_length,param__batch_size,param__k,param__subsequence_multiplier,param__overlap,param__start_index_multiplier,param__x_lag_multiplier,param__n_bins,param__tol,param__kernel,param__nu,param__gamma,param__train_fraction,param__n_components,param__n_selected_components,param__whiten,param__weighted,param__standardization
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,24.98301760002505,0.18168305496830994,0.11793307461633949,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.9957076798382851,0.7998349287472976,0.6428571428571429,0.8421052631578947,0.7291139240506329,0.6783625730994152,0.5354822788173283,144,7164,80,27,0.36923076923076925,0.8736842105263158,0.5190879478827363,1.0,0.8421052631578947,0.9893772276273962,0.9995528267736097,173,0.36923076923076925,0.8736842105263158,0.5190879478827363,,,,,,,,,,,,1.0,,,,,,,,,,,,
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,29.554938600049354,0.175988712538974,0.12146493100035265,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9957076798382852,0.7998349287472974,0.6457399103139013,0.8421052631578947,0.7309644670050761,0.6783625730994152,0.5403835055400319,144,7165,79,27,0.36923076923076925,0.8736842105263158,0.5190879478827363,1.0,0.8421052631578947,0.9894444965211107,0.9995390251308198,173,0.36923076923076925,0.8736842105263158,0.5190879478827363,,,,,,,,,,,,2.0,,,,,,,,,,,,
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,23.018251800036523,0.1786532871751662,0.11967449335188211,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.9957391638492512,0.8041461437828512,0.6457399103139013,0.8421052631578947,0.7309644670050761,0.6783625730994152,0.5376767672308125,144,7165,79,27,0.36923076923076925,0.8736842105263158,0.5190879478827363,1.0,0.8421052631578947,0.9894444965211107,0.9995390251308198,173,0.36923076923076925,0.8736842105263158,0.5190879478827363,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,24.37687099998584,0.4372588139001677,0.20539942930037497,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.8844602157415038,0.06053531479079548,0.0,0.0,0.0,0.0,1.0534571018012926,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,268.93079650000436,0.45081990838200897,0.18627148344084637,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.9812363931562957,0.300822899687106,0.0,0.0,0.0,0.35454545454545455,1.0096343587045482,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165,0.0,0.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,184.92512259999057,0.43046606547268335,0.206435283251867,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.8802105755156763,0.058062222561175186,0.0,0.0,0.0,0.0,1.0497719152282843,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165,0.0,0.0,0.0,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,32.13238399999682,0.640872013696551,0.19407807257126275,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.6687531518677506,0.030718394991285567,0.0,0.0,0.0,0.05454545454545454,1.2231062314103394,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,2,auto,auto_ablation,Measures the effect of waiting longer before the backward search begins.,ablation,start_index_multiplier,Start x2,score_driver,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,67.407189700054,0.6304812285618893,0.21096328501088407,"{""start_index_multiplier"": 2.0, ""x_lag_multiplier"": null}",,,,,,,0.6736596105828957,0.03336259493328124,0.0,0.0,0.0,0.05454545454545454,1.2633710835945415,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165,0.0,0.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,3,auto,auto_ablation,Measures a much deeper historical search horizon during backward matching.,ablation,x_lag_multiplier,x_lag x8,score_driver,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,102.9167657000362,0.6341899348883209,0.19157661972634768,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": 8.0}",,,,,,,0.6181399982780039,0.020018622614765568,0.0,0.0,0.0,0.01818181818181818,1.208919794067364,0,7391,0,110,0.0,0.0,0.0,0.0,0.0,,0.0,165,0.0,0.0,0.0,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,
144_UCR_Anomaly_InternalBleeding9_4200_6599_6681,144,InternalBleeding,raw,damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,1,auto,auto_ablation,Reference streaming-discord configuration.,baseline,baseline,Baseline,baseline,175,1,7501,83,4200,6599,6681,zscore,sigma,3.0,range,datasets\normalized\zscore,17.095683999999892,0.34559339166603414,0.21110852653016446,"{""start_index_multiplier"": 1.0, ""x_lag_multiplier"": null}",,,,,,,0.3401186303585872,0.016583416583416583,0.0,0.0,0.0,0.0,0.9789189712565276,0,7396,22,83,0.0,0.0,0.0,0.0,0.0,0.13524863351553132,0.3526196507132383,175,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
