dataset_name,dataset_sequence,family,variant,algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,variant_index,window_size,window_stride,series_length,anomaly_count,train_end,anomaly_start,anomaly_end,normalization_method,threshold_method,threshold_value,evaluation_mode,prepared_dataset_dir,runtime_seconds,score_mean,score_std,params_json,error,param__n_estimators,param__max_samples,param__max_features,param__bootstrap,param__random_state,roc_auc,average_precision,precision,recall,f1,precision_at_k,score_threshold,tp,tn,fp,fn,range_precision,range_recall,range_f1,existence_reward,overlap_reward,affiliation_precision,affiliation_recall,tsb_uad_window,evaluation_precision,evaluation_recall,evaluation_f1,param__n_neighbors,param__algorithm,param__leaf_size,param__metric,param__p,param__subsequence_multiplier,param__kernel,param__nu,param__gamma,param__train_fraction
141_UCR_Anomaly_InternalBleeding5_4000_6200_6370,141,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,2.2811638000421226,0.02698907547130713,0.09484184412655586,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.9313882672814929,0.701694341275392,0.6829268292682927,0.6549707602339181,0.6686567164179105,0.6783625730994152,0.31151460785097473,112,7192,52,59,0.6829268292682927,0.7239766081871346,0.7028528558973217,1.0,0.6549707602339181,0.9904642863016627,0.9972546560827783,173,0.6829268292682927,0.7239766081871346,0.7028528558973217,50.0,auto,30.0,manhattan,1.0,,,,,
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16859069996280596,0.0643101079126727,0.08930666754181137,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.8459382396724371,0.5285233441952719,0.6463414634146342,0.6198830409356725,0.6328358208955224,0.6491228070175439,0.3322301105381068,106,7186,58,65,0.7070707070707071,0.447953216374269,0.5484468174332853,1.0,0.30994152046783624,0.9890778415538707,0.9978713923491579,173,0.7070707070707071,0.447953216374269,0.5484468174332853,20.0,auto,30.0,minkowski,2.0,,,,,
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,0.15617249999195337,0.1131412151144128,0.09720387084582204,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.5077297283333494,0.03367210262360705,0.041666666666666664,0.04093567251461988,0.04129793510324484,0.04678362573099415,0.4047528276518789,7,7083,161,164,0.25,0.21091617933723197,0.228801015013745,1.0,0.01364522417153996,0.4068630992518383,0.9935984037414283,173,0.25,0.21091617933723197,0.228801015013745,10.0,auto,30.0,minkowski,2.0,,,,,
033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370,33,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,173,1,7415,171,4000,6200,6370,zscore,sigma,3.0,range,datasets\normalized\zscore,2.1633912999532185,0.045917001026265364,0.08622771384245814,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.84655823250377,0.6705392281604193,0.70625,0.6608187134502924,0.6827794561933535,0.695906432748538,0.30460014255363976,113,7197,47,58,0.70625,0.7286549707602339,0.7172775669273288,1.0,0.6608187134502924,0.991363789615644,0.9973469299231447,173,0.70625,0.7286549707602339,0.7172775669273288,50.0,auto,30.0,manhattan,1.0,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.11030800000298768,0.13858287016422632,0.1332888397504141,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.9982570940086838,0.9354161137674215,0.4351464435146444,0.9454545454545454,0.5959885386819485,0.8727272727272727,0.5384493894154687,104,7256,135,6,0.12278630460448643,0.9563636363636363,0.21763121566193644,1.0,0.9454545454545454,0.7707106277043116,0.9999563694537699,165,0.12278630460448643,0.9563636363636363,0.21763121566193644,20.0,auto,30.0,minkowski,2.0,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.18535200000042096,0.14893297943809441,0.12218132753894925,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.9972792462577337,0.8835290824337579,0.5838150289017341,0.9181818181818182,0.7137809187279152,0.8272727272727273,0.5154769620549422,101,7319,72,9,0.22747747747747749,0.9345454545454546,0.3658930245342994,1.0,0.9181818181818182,0.878911328200556,0.9999018312709821,165,0.22747747747747749,0.9345454545454546,0.3658930245342994,10.0,auto,30.0,minkowski,2.0,,,,,
143_UCR_Anomaly_InternalBleeding8_2500_5865_5974,143,InternalBleeding,raw,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,2.190386399975978,0.20439633228208753,0.1538373214026057,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.9947811220034194,0.8491173666115938,0.5163043478260869,0.8636363636363636,0.6462585034013606,0.7909090909090909,0.6659082964899046,95,7302,89,15,0.41666666666666663,0.5454545454545454,0.4724409448818897,1.0,0.4318181818181818,0.858693478550686,0.9998200239968004,165,0.41666666666666663,0.5454545454545454,0.4724409448818897,50.0,auto,30.0,manhattan,1.0,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,1,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.15511809999588877,0.17857081360146318,0.1633068219633793,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 20, ""p"": 2}",,,,,,,0.7665785168694113,0.039463213584563506,0.0,0.0,0.0,0.0,0.6684912794916011,0,7180,211,110,0.0,0.0,0.0,0.0,0.0,0.41948466902675224,0.9850686575123316,165,0.0,0.0,0.0,20.0,auto,30.0,minkowski,2.0,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,local_outlier_factor__tab_02,2,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,0.16141220001736656,0.17229692286233522,0.13891905196617743,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""minkowski"", ""n_neighbors"": 10, ""p"": 2}",,,,,,,0.6827923395776189,0.045221701742912845,0.0,0.0,0.0,0.0,0.5890540787608676,0,7227,164,110,0.0,0.0,0.0,0.0,0.0,0.4748586367346143,0.984268764164778,165,0.0,0.0,0.0,10.0,auto,30.0,minkowski,2.0,,,,,
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974,35,InternalBleeding,distorted,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,local_outlier_factor__tab_03,3,165,1,7501,110,2500,5865,5974,zscore,sigma,3.0,range,datasets\normalized\zscore,2.1431175000034273,0.1746295674211598,0.16879823706093683,"{""algorithm"": ""auto"", ""leaf_size"": 30, ""metric"": ""manhattan"", ""n_neighbors"": 50, ""p"": 1}",,,,,,,0.8221731590017342,0.042015399221103325,0.0,0.0,0.0,0.0,0.6810242786039702,0,7142,249,110,0.0,0.0,0.0,0.0,0.0,0.47519259814889475,0.984268764164778,165,0.0,0.0,0.0,50.0,auto,30.0,manhattan,1.0,,,,,
