-------> THIS IS THE IForest METHOD REPORT <----------

fileName:026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854, AUC:0.87, R_AUC:0.76, Precision:0.92, Recall:0.49, F:0.64, ExistenceReward:1.00, OverlapReward:0.25, AP:0.62, R_AP:0.45, Precisionk:0.49, R_precision:0.40, R_recall:0.40, R_f:0.40, tn_count:7423, fn_count:87, fp_count:7, tp_count:84, elapsed_time:0.38147950172424316 seconds
fileName:027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199, AUC:0.90, R_AUC:0.95, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.11, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7421, fn_count:13, fp_count:67, tp_count:0, elapsed_time:0.39490604400634766 seconds
fileName:028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309, AUC:0.59, R_AUC:0.62, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7362, fn_count:112, fp_count:26, tp_count:0, elapsed_time:0.37769389152526855 seconds
fileName:029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587, AUC:0.12, R_AUC:0.23, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7387, fn_count:103, fp_count:10, tp_count:0, elapsed_time:0.36972570419311523 seconds
fileName:030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197, AUC:0.75, R_AUC:0.89, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.05, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7489, fn_count:11, fp_count:0, tp_count:0, elapsed_time:0.38918447494506836 seconds
fileName:031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919, AUC:0.96, R_AUC:0.95, Precision:1.00, Recall:0.09, F:0.17, ExistenceReward:1.00, OverlapReward:0.02, AP:0.48, R_AP:0.51, Precisionk:0.09, R_precision:1.00, R_recall:0.21, R_f:0.35, tn_count:7339, fn_count:146, fp_count:0, tp_count:15, elapsed_time:0.38023948669433594 seconds
fileName:032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033, AUC:0.89, R_AUC:0.88, Precision:1.00, Recall:0.52, F:0.68, ExistenceReward:1.00, OverlapReward:0.17, AP:0.67, R_AP:0.61, Precisionk:0.52, R_precision:1.00, R_recall:0.34, R_f:0.51, tn_count:6962, fn_count:172, fp_count:0, tp_count:187, elapsed_time:0.3775649070739746 seconds
fileName:033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370, AUC:0.87, R_AUC:0.88, Precision:1.00, Recall:0.47, F:0.64, ExistenceReward:1.00, OverlapReward:0.09, AP:0.63, R_AP:0.56, Precisionk:0.47, R_precision:1.00, R_recall:0.27, R_f:0.43, tn_count:7244, fn_count:91, fp_count:0, tp_count:80, elapsed_time:0.4500577449798584 seconds
fileName:034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629, AUC:0.94, R_AUC:0.91, Precision:0.96, Recall:0.72, F:0.82, ExistenceReward:1.00, OverlapReward:0.36, AP:0.81, R_AP:0.66, Precisionk:0.72, R_precision:0.98, R_recall:0.49, R_f:0.65, tn_count:7493, fn_count:44, fp_count:5, tp_count:112, elapsed_time:0.36742663383483887 seconds
fileName:035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974, AUC:0.51, R_AUC:0.56, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7372, fn_count:110, fp_count:19, tp_count:0, elapsed_time:0.3770256042480469 seconds
fileName:036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681, AUC:0.10, R_AUC:0.37, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7391, fn_count:83, fp_count:27, tp_count:0, elapsed_time:0.37976884841918945 seconds
fileName:037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260, AUC:1.00, R_AUC:0.99, Precision:0.29, Recall:0.96, F:0.45, ExistenceReward:1.00, OverlapReward:0.96, AP:0.86, R_AP:0.62, Precisionk:0.96, R_precision:0.02, R_recall:0.97, R_f:0.04, tn_count:29832, fn_count:2, fp_count:118, tp_count:49, elapsed_time:0.6937799453735352 seconds
