-------> THIS IS THE SAND METHOD REPORT <----------

fileName:026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854, AUC:1.00, R_AUC:1.0, Precision:0.75, Recall:0.89, F:0.82, ExistenceReward:1.00, OverlapReward:0.89, AP:0.93, R_AP:0.99, Precisionk:0.89, R_precision:0.75, R_recall:0.92, R_f:0.83, tn_count:7380, fn_count:18, fp_count:50, tp_count:153, elapsed_time:1.809689998626709 seconds
fileName:027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199, AUC:0.99, R_AUC:1.0, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.11, R_AP:0.92, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7488, fn_count:13, fp_count:0, tp_count:0, elapsed_time:0.48484063148498535 seconds
fileName:028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309, AUC:1.00, R_AUC:0.99, Precision:0.65, Recall:0.98, F:0.78, ExistenceReward:1.00, OverlapReward:0.98, AP:0.99, R_AP:0.79, Precisionk:0.98, R_precision:0.48, R_recall:0.99, R_f:0.64, tn_count:7329, fn_count:2, fp_count:59, tp_count:110, elapsed_time:0.40168213844299316 seconds
fileName:029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587, AUC:0.95, R_AUC:0.93, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.11, R_AP:0.13, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7376, fn_count:103, fp_count:21, tp_count:0, elapsed_time:0.40674352645874023 seconds
fileName:030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197, AUC:1.00, R_AUC:0.99, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.15, R_AP:0.3, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7489, fn_count:11, fp_count:0, tp_count:0, elapsed_time:0.484130859375 seconds
fileName:031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919, AUC:1.00, R_AUC:1.0, Precision:0.93, Recall:1.00, F:0.96, ExistenceReward:1.00, OverlapReward:1.00, AP:1.0, R_AP:1.0, Precisionk:1.00, R_precision:0.93, R_recall:1.00, R_f:0.96, tn_count:7326, fn_count:0, fp_count:13, tp_count:161, elapsed_time:1.4465765953063965 seconds
fileName:032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033, AUC:0.99, R_AUC:1.0, Precision:0.89, Recall:0.56, F:0.69, ExistenceReward:1.00, OverlapReward:0.56, AP:0.88, R_AP:0.96, Precisionk:0.56, R_precision:0.89, R_recall:0.65, R_f:0.75, tn_count:6937, fn_count:157, fp_count:25, tp_count:202, elapsed_time:0.8603849411010742 seconds
fileName:033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370, AUC:1.00, R_AUC:1.0, Precision:0.81, Recall:0.77, F:0.79, ExistenceReward:1.00, OverlapReward:0.77, AP:0.92, R_AP:0.98, Precisionk:0.77, R_precision:0.81, R_recall:0.82, R_f:0.81, tn_count:7213, fn_count:39, fp_count:31, tp_count:132, elapsed_time:1.9928009510040283 seconds
fileName:034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629, AUC:0.98, R_AUC:0.99, Precision:0.49, Recall:0.95, F:0.65, ExistenceReward:1.00, OverlapReward:0.95, AP:0.36, R_AP:0.65, Precisionk:0.95, R_precision:0.49, R_recall:0.96, R_f:0.65, tn_count:7344, fn_count:8, fp_count:154, tp_count:148, elapsed_time:0.48911023139953613 seconds
fileName:035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974, AUC:0.92, R_AUC:0.95, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.08, R_AP:0.22, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7315, fn_count:110, fp_count:76, tp_count:0, elapsed_time:0.4414215087890625 seconds
