-------> THIS IS THE LOF METHOD REPORT <----------

fileName:026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854, AUC:0.71, R_AUC:0.92, Precision:0.27, Recall:0.27, F:0.27, ExistenceReward:1.00, OverlapReward:0.09, AP:0.13, R_AP:0.48, Precisionk:0.27, R_precision:0.29, R_recall:0.27, R_f:0.28, tn_count:7303, fn_count:124, fp_count:127, tp_count:47, elapsed_time:0.4241025447845459 seconds
fileName:027_UCR_Anomaly_DISTORTEDInternalBleeding16_1200_4187_4199, AUC:0.85, R_AUC:0.92, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.07, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7308, fn_count:13, fp_count:180, tp_count:0, elapsed_time:0.36698317527770996 seconds
fileName:028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309, AUC:1.00, R_AUC:1.0, Precision:0.59, Recall:1.00, F:0.74, ExistenceReward:1.00, OverlapReward:1.00, AP:1.0, R_AP:1.0, Precisionk:1.00, R_precision:0.59, R_recall:1.00, R_f:0.74, tn_count:7311, fn_count:0, fp_count:77, tp_count:112, elapsed_time:0.3519885540008545 seconds
fileName:029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587, AUC:0.85, R_AUC:0.8, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.04, R_AP:0.06, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7268, fn_count:103, fp_count:129, tp_count:0, elapsed_time:0.35358119010925293 seconds
fileName:030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197, AUC:0.99, R_AUC:1.0, Precision:0.06, Recall:1.00, F:0.11, ExistenceReward:1.00, OverlapReward:1.00, AP:0.09, R_AP:0.84, Precisionk:1.00, R_precision:0.02, R_recall:1.00, R_f:0.03, tn_count:7314, fn_count:0, fp_count:175, tp_count:11, elapsed_time:0.3988022804260254 seconds
fileName:031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919, AUC:0.70, R_AUC:0.82, Precision:0.06, Recall:0.08, F:0.07, ExistenceReward:1.00, OverlapReward:0.08, AP:0.07, R_AP:0.18, Precisionk:0.08, R_precision:0.20, R_recall:0.26, R_f:0.23, tn_count:7145, fn_count:148, fp_count:194, tp_count:13, elapsed_time:0.3602254390716553 seconds
fileName:032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033, AUC:0.56, R_AUC:0.67, Precision:0.55, Recall:0.22, F:0.32, ExistenceReward:1.00, OverlapReward:0.11, AP:0.22, R_AP:0.38, Precisionk:0.22, R_precision:0.57, R_recall:0.29, R_f:0.38, tn_count:6897, fn_count:279, fp_count:65, tp_count:80, elapsed_time:0.35485148429870605 seconds
fileName:033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370, AUC:0.85, R_AUC:0.93, Precision:0.65, Recall:0.62, F:0.63, ExistenceReward:1.00, OverlapReward:0.31, AP:0.53, R_AP:0.78, Precisionk:0.62, R_precision:0.71, R_recall:0.45, R_f:0.55, tn_count:7186, fn_count:65, fp_count:58, tp_count:106, elapsed_time:0.37334346771240234 seconds
fileName:034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629, AUC:0.44, R_AUC:0.68, Precision:0.04, Recall:0.06, F:0.05, ExistenceReward:1.00, OverlapReward:0.06, AP:0.02, R_AP:0.08, Precisionk:0.06, R_precision:0.12, R_recall:0.25, R_f:0.17, tn_count:7280, fn_count:146, fp_count:218, tp_count:10, elapsed_time:0.3153061866760254 seconds
fileName:035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974, AUC:0.77, R_AUC:0.86, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.04, R_AP:0.28, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7180, fn_count:110, fp_count:211, tp_count:0, elapsed_time:0.3401601314544678 seconds
fileName:036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681, AUC:0.33, R_AUC:0.67, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7271, fn_count:83, fp_count:147, tp_count:0, elapsed_time:0.33115410804748535 seconds
fileName:037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260, AUC:1.00, R_AUC:1.0, Precision:0.39, Recall:1.00, F:0.56, ExistenceReward:1.00, OverlapReward:1.00, AP:1.0, R_AP:0.68, Precisionk:1.00, R_precision:0.08, R_recall:1.00, R_f:0.15, tn_count:29870, fn_count:0, fp_count:80, tp_count:51, elapsed_time:1.369675636291504 seconds
fileName:038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932, AUC:0.99, R_AUC:0.99, Precision:0.15, Recall:0.80, F:0.25, ExistenceReward:1.00, OverlapReward:0.40, AP:0.17, R_AP:0.17, Precisionk:0.80, R_precision:0.02, R_recall:0.52, R_f:0.04, tn_count:29547, fn_count:14, fp_count:332, tp_count:57, elapsed_time:1.3137850761413574 seconds
fileName:039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420, AUC:1.00, R_AUC:1.0, Precision:0.16, Recall:1.00, F:0.28, ExistenceReward:1.00, OverlapReward:1.00, AP:0.96, R_AP:0.73, Precisionk:1.00, R_precision:0.02, R_recall:1.00, R_f:0.05, tn_count:29759, fn_count:0, fp_count:160, tp_count:31, elapsed_time:1.4631609916687012 seconds
fileName:040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520, AUC:0.65, R_AUC:0.65, Precision:0.01, Recall:0.04, F:0.02, ExistenceReward:1.00, OverlapReward:0.01, AP:0.01, R_AP:0.01, Precisionk:0.04, R_precision:0.03, R_recall:0.21, R_f:0.06, tn_count:29553, fn_count:126, fp_count:382, tp_count:5, elapsed_time:1.3336539268493652 seconds
fileName:041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520, AUC:0.70, R_AUC:0.74, Precision:0.17, Recall:0.51, F:0.25, ExistenceReward:1.00, OverlapReward:0.51, AP:0.3, R_AP:0.36, Precisionk:0.51, R_precision:0.01, R_recall:0.61, R_f:0.03, tn_count:29366, fn_count:64, fp_count:329, tp_count:67, elapsed_time:1.3309335708618164 seconds
fileName:042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420, AUC:0.45, R_AUC:0.49, Precision:0.01, Recall:0.02, F:0.02, ExistenceReward:1.00, OverlapReward:0.01, AP:0.01, R_AP:0.01, Precisionk:0.02, R_precision:0.02, R_recall:0.21, R_f:0.04, tn_count:29218, fn_count:226, fp_count:410, tp_count:5, elapsed_time:1.3482410907745361 seconds
fileName:043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440, AUC:0.97, R_AUC:0.97, Precision:0.16, Recall:0.52, F:0.24, ExistenceReward:1.00, OverlapReward:0.10, AP:0.11, R_AP:0.11, Precisionk:0.52, R_precision:0.07, R_recall:0.28, R_f:0.11, tn_count:24072, fn_count:78, fp_count:434, tp_count:83, elapsed_time:1.034104585647583 seconds
fileName:044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821, AUC:0.63, R_AUC:0.78, Precision:0.10, Recall:0.27, F:0.14, ExistenceReward:1.00, OverlapReward:0.13, AP:0.11, R_AP:0.33, Precisionk:0.27, R_precision:0.02, R_recall:0.31, R_f:0.04, tn_count:28776, fn_count:247, fp_count:818, tp_count:90, elapsed_time:2.3897833824157715 seconds
fileName:045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717, AUC:0.86, R_AUC:0.84, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.04, R_AP:0.04, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:28596, fn_count:361, fp_count:974, tp_count:0, elapsed_time:2.4073381423950195 seconds
fileName:046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477, AUC:0.95, R_AUC:0.93, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.03, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29022, fn_count:73, fp_count:836, tp_count:0, elapsed_time:2.369091510772705 seconds
