algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,run_count,success_count,mean_roc_auc,median_roc_auc,mean_average_precision,median_average_precision,mean_precision,mean_recall,mean_f1,median_f1,mean_evaluation_precision,mean_evaluation_recall,mean_evaluation_f1,median_evaluation_f1,mean_precision_at_k,mean_range_precision,mean_range_recall,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds,median_runtime_seconds,success_rate
sand,SAND,Distance-based,Clustering,SAND | Init 3000,Init 3000,sand__tab_03,range,171,0,0.9222065915369289,0.9861643109359266,0.41206763405686686,0.3192328770928654,0.21991529492550618,0.5448563355849197,0.2777799982100797,0.2352941176470588,0.17637376924077672,0.567642034658095,0.2332126606149139,0.1510574018126888,0.3643068795461415,0.17637376924077672,0.567642034658095,0.2332126606149139,0.6727466432694523,0.902661606782953,26.543408512865085,11.105486499989638,0.0
matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Subseq x4,Subseq x4,matrix_profile__tab_03,range,171,0,0.9145453617667646,0.9828127341671976,0.26598836740861137,0.1541418217736927,0.14022472206978684,0.5734576110676318,0.20751859165808478,0.1356382978723404,0.09871782625116045,0.5684240686704453,0.1500472352485438,0.0687771335609636,0.22642506229243473,0.09871782625116045,0.5684240686704453,0.1500472352485438,0.7264810307857728,0.7872742067770621,0.6447499491211724,0.3768580999749247,0.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,ocsvm__tab_01,range,171,0,0.7333550107131217,0.8329290167203943,0.259013869188712,0.1591494982539963,0.2408212320388116,0.36163477561289076,0.23544958483264825,0.1746031746031746,0.15367351179061195,0.38528948008805763,0.14906281255811274,0.054542144547606,0.2632443948872589,0.15367351179061195,0.38528948008805763,0.14906281255811274,0.7515302886948552,0.8917714671925054,0.7805509941527492,0.3428960999881383,0.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Nu 0.10,Nu 0.10,ocsvm__tab_03,range,171,0,0.7372389398578167,0.8256050211780037,0.2543561781065579,0.131968036042535,0.2268696591953283,0.35634141889024157,0.22665584014294202,0.143598615916955,0.14449081085614227,0.37930506145082543,0.14189679360754182,0.0464725529168288,0.2578984679304015,0.14449081085614227,0.37930506145082543,0.14189679360754182,0.7341361788769742,0.8895783595785605,1.2884786994164477,0.5922422999865375,0.0
damp,DAMP,Distance-based,Discord,DAMP | Start x2,Start x2,damp__tab_02,range,171,0,0.8292642941213902,0.9096481206398774,0.18715533443530535,0.0777482369269818,0.13109452969776003,0.3495147200626932,0.16467537535067645,0.040133779264214,0.11396019958213537,0.3561976052482461,0.13436236813574412,0.0413655342701382,0.16225637237145113,0.11396019958213537,0.3561976052482461,0.13436236813574412,0.7410737290601092,0.702703107063028,18.47165978888638,13.230368299991824,0.0
damp,DAMP,Distance-based,Discord,DAMP | x_lag x8,x_lag x8,damp__tab_03,range,171,0,0.8088645968242247,0.889776427436962,0.1546930792313644,0.0460706914353036,0.12447680791113958,0.30495986542596115,0.15235189621891532,0.0,0.1089329757805322,0.3125346786855729,0.13152551170536642,0.0,0.12392746232710607,0.1089329757805322,0.3125346786855729,0.13152551170536642,0.7192397126668569,0.658927865351667,15.468896552629644,11.998524800001178,0.0
damp,DAMP,Distance-based,Discord,DAMP | Baseline,Baseline,damp__tab_01,range,171,0,0.8101065420287052,0.8927847519354167,0.16245672765569036,0.0464649470338967,0.12210877956981475,0.30695874454623745,0.15113966626657027,0.0,0.10766788592263267,0.30847801060007235,0.12837976293768805,0.0,0.13395656006953982,0.10766788592263267,0.30847801060007235,0.12837976293768805,0.7190826479482704,0.6273067981759308,15.928282424560761,11.922294999996666,0.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,local_outlier_factor__tab_01,range,172,0,0.8041924709675786,0.9415159333325749,0.3066650598025,0.13673917572699645,0.17657721877775065,0.49702080653527453,0.22763187172504482,0.15220466556344414,0.09479649709542187,0.49431683688834877,0.12023850024568154,0.06402254508715824,0.2940138173867619,0.09479649709542187,0.49431683688834877,0.12023850024568154,0.677219506137206,0.9866514985741616,1.6243135441879086,0.8011684000084642,0.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Leaf size 60,Leaf size 60,local_outlier_factor__tab_04,range,172,0,0.8041807960452888,0.9415159333325749,0.3066650428814272,0.13673917572699645,0.17657721877775065,0.49702080653527453,0.22763187172504482,0.15220466556344414,0.09479649709542187,0.49431683688834877,0.12023850024568154,0.06402254508715824,0.2940138173867619,0.09479649709542187,0.49431683688834877,0.12023850024568154,0.677218371382522,0.9866514985741616,1.6339032029082288,0.6354527999938,0.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Search brute,Search brute,local_outlier_factor__tab_03,range,172,0,0.8041897920916019,0.9415159333325749,0.3066650371474214,0.13673917572699645,0.17657718867859198,0.49702080653527453,0.22763181430321108,0.15220466556344414,0.09479643978234159,0.49431683688834877,0.12023838818187906,0.06402254508715824,0.2940138173867619,0.09479643978234159,0.49431683688834877,0.12023838818187906,0.6772306102266078,0.9866514985741616,1.6360066877904775,0.6224096000078134,0.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Metric manhattan,Metric manhattan,local_outlier_factor__tab_05,range,172,0,0.7928378977686852,0.9008817044963771,0.2769883505961845,0.13137528532066511,0.14889382034167906,0.446203176454023,0.19581513565895783,0.14675792353555875,0.08978927165858278,0.4525718696242325,0.10705704794698456,0.0529351712913829,0.27177264312182176,0.08978927165858278,0.4525718696242325,0.10705704794698456,0.6472181009131215,0.9831314894014308,18.92158561511467,4.039072750019841,0.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | p = 1,p = 1,local_outlier_factor__tab_06,range,172,0,0.7928378977686852,0.9008817044963771,0.2769883505961845,0.13137528532066511,0.14889382034167906,0.446203176454023,0.19581513565895783,0.14675792353555875,0.08978927165858278,0.4525718696242325,0.10705704794698456,0.0529351712913829,0.27177264312182176,0.08978927165858278,0.4525718696242325,0.10705704794698456,0.6472181009131215,0.9831314894014308,18.82535988139361,4.007614549977006,0.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Trees 400,Trees 400,isolation_forest__tab_02,range,172,0,0.6384703798329878,0.698430933126784,0.16752187751898856,0.013878990278185201,0.13716671852148488,0.20373016485433598,0.12849515468529366,0.0,0.1140830942388039,0.21845499963668133,0.09574942398048816,0.0,0.1648030171755724,0.1140830942388039,0.21845499963668133,0.09574942398048816,0.6228790460528018,0.8171534719820258,1.5244116773251863,1.3111400000052527,0.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Max feat 0.6,Max feat 0.6,isolation_forest__tab_04,range,172,0,0.6391390434145872,0.6865707371448645,0.16923066283046964,0.01434432873217895,0.13006774408043356,0.19901386292865728,0.12937825157767716,0.0,0.10536940035576263,0.20484928235792532,0.09441661115087517,0.0,0.16466493352267692,0.10536940035576263,0.20484928235792532,0.09441661115087517,0.6157461352072615,0.823032061493994,5.499198091859208,1.4310548000212293,0.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Seed 7,Seed 7,isolation_forest__tab_06,range,172,0,0.6445093067172528,0.6884559043025703,0.1628034689357809,0.01658552935806645,0.13093886971185614,0.19924837773850881,0.12827049407155566,0.0,0.10043378828232989,0.20685603403607483,0.09419259753984793,0.0,0.15682301405177868,0.10043378828232989,0.20685603403607483,0.09419259753984793,0.6179001164762766,0.8440207031660554,0.7803879354650298,0.6930280500091612,0.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Neighbors 10,Neighbors 10,local_outlier_factor__tab_02,range,172,0,0.7224459692860189,0.8253802763046915,0.2502320785479506,0.10888690032614026,0.1412956377104795,0.42496846543516453,0.18146702234057444,0.1271713518548961,0.06567375836514558,0.4241742316978266,0.0925669669132087,0.05479528535980145,0.24882392827927505,0.06567375836514558,0.4241742316978266,0.0925669669132087,0.6346604894596977,0.9899391370378328,1.5817073523258143,0.6392209500045283,0.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Bootstrap on,Bootstrap on,isolation_forest__tab_05,range,172,0,0.635241584483397,0.6891838682276324,0.1691111180022563,0.0139045494160027,0.13911690345413458,0.19708358364498063,0.128416288983406,0.0,0.09925042959248724,0.21396124344965067,0.08815714257350121,0.0,0.1634144280830428,0.09925042959248724,0.21396124344965067,0.08815714257350121,0.6305344317191962,0.8503130522750222,0.7115215534895257,0.5606248499971116,0.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Baseline,Baseline,isolation_forest__tab_01,range,172,0,0.6338670325336154,0.6871883126956831,0.16527449492015991,0.0119946477039088,0.1361812012624325,0.1965559967427644,0.12761475867754346,0.0,0.1061026358053896,0.20631994937045842,0.08773803212166906,0.0,0.16077712117046902,0.1061026358053896,0.20631994937045842,0.08773803212166906,0.6205068009846932,0.8383276533047894,0.7812926622075814,0.7153680499905022,0.0
isolation_forest,Isolation Forest,Density-based,Tree,Isolation Forest | Max samples auto,Max samples auto,isolation_forest__tab_03,range,172,0,0.6338670325336154,0.6871883126956831,0.16527449492015991,0.0119946477039088,0.1361812012624325,0.1965559967427644,0.12761475867754346,0.0,0.1061026358053896,0.20631994937045842,0.08773803212166906,0.0,0.16077712117046902,0.1061026358053896,0.20631994937045842,0.08773803212166906,0.6205068009846932,0.8383276533047894,0.777394498256272,0.6517867000075057,0.0
pca,PCA,Density-based,Encoding,PCA | Weighted off,Weighted off,pca__tab_05,range,171,0,0.531883312035104,0.5426789112894257,0.1345629348097837,0.0089305016471922,0.10807366671215453,0.1493659277560938,0.10471843260443571,0.0,0.08044490338425975,0.1686714352728828,0.08245513352097585,0.0,0.12148149841342361,0.08044490338425975,0.1686714352728828,0.08245513352097585,0.6434232099944699,0.6519540285457781,0.26402534619882584,0.1008949000097345,0.0
pca,PCA,Density-based,Encoding,PCA | Standardize off,Standardize off,pca__tab_06,range,171,0,0.5321568819753739,0.5428250542280832,0.13503574628598672,0.0092522186534251,0.10839684636316166,0.1494404838999008,0.10515090673826918,0.0,0.07962922161445302,0.16803906785130793,0.0816360019826627,0.0,0.12103039593250316,0.07962922161445302,0.16803906785130793,0.0816360019826627,0.6446911882970768,0.6522234968766035,0.23639526199028627,0.0929351999948266,0.0
pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,range,171,0,0.5326060772993405,0.5428651465386886,0.13519132721897476,0.0089136504989243,0.10835001852836457,0.14934819380257747,0.1050533416695102,0.0,0.07962023244774495,0.16801714656421543,0.08162204451773288,0.0,0.12162531258284387,0.07962023244774495,0.16801714656421543,0.08162204451773288,0.6447581054830468,0.6522200817717119,0.26548239181334915,0.0982088000164367,0.0
pca,PCA,Density-based,Encoding,PCA | Whiten on,Whiten on,pca__tab_04,range,171,0,0.5326060772993405,0.5428651465386886,0.13519132721897476,0.0089136504989243,0.10835001852836457,0.14934819380257747,0.1050533416695102,0.0,0.07962023244774495,0.16801714656421543,0.08162204451773288,0.0,0.12162531258284387,0.07962023244774495,0.16801714656421543,0.08162204451773288,0.6447581054830468,0.6522200817717119,0.26329473684128635,0.0974017999833449,0.0
pca,PCA,Density-based,Encoding,PCA | Components 0.95,Components 0.95,pca__tab_02,range,171,0,0.5296515978011783,0.543761145015698,0.1321137434568482,0.0087223053609477,0.10915110677576569,0.1480132057825639,0.1045196090837227,0.0,0.07938068638410392,0.1660695744699302,0.08130254590844528,0.0,0.12022223919340169,0.07938068638410392,0.1660695744699302,0.08130254590844528,0.6410909650679086,0.6493422903913418,0.08211791988262053,0.0307047000096645,0.0
