family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
InternalBleeding,SAND | Init 3000,Distance-based,Clustering,range,28,0.940756920995039,0.45505966011081106,0.4718748604440838,0.4718748604440838,0.9122838926887971,0.920601909137759,5.9877984035691565
ECG,SAND | k = 3,Distance-based,Clustering,range,15,0.9815218442385661,0.3216700759335095,0.25830052457185276,0.25830052457185276,0.5886482867719269,0.9505172395644881,18.487988366667803
ECG,Matrix Profile | Subseq x4,Distance-based,Discord,range,15,0.981992119077335,0.31671628946544256,0.24022626618299248,0.24022626618299248,0.9249960768771779,0.9786977777777779,0.5620883333341529
ECG,DAMP | Baseline,Distance-based,Discord,range,15,0.9309225710182236,0.19973433190181614,0.17807114347735534,0.17807114347735534,0.6730054575703658,0.990122822432687,19.07726052000265
ECG,DAMP | Start x2,Distance-based,Discord,range,15,0.9317662894844109,0.20010762753888844,0.17587815606492996,0.17587815606492996,0.6730569624171576,0.990122822432687,19.035413326664518
ECG,DAMP | x_lag x8,Distance-based,Discord,range,15,0.9274890320991109,0.19902587175998765,0.17166306013557567,0.17166306013557567,0.6726794768188523,0.990131711321576,18.631329746664658
ECG,Local Outlier Factor | Baseline,Distance-based,Proximity,range,15,0.6858106522005799,0.39975597195880447,0.12975538109417808,0.12975538109417808,0.6934063957197155,0.9986157441458431,1.5865440666636763
ECG,Local Outlier Factor | Leaf size 60,Distance-based,Proximity,range,15,0.6858106522005799,0.39975597195880447,0.12975538109417808,0.12975538109417808,0.6934063957197155,0.9986157441458431,1.6744939600039894
ECG,Local Outlier Factor | Search brute,Distance-based,Proximity,range,15,0.6858106522005799,0.39975597195880447,0.12975538109417808,0.12975538109417808,0.6934063957197155,0.9986157441458431,1.630674086670236
ECG,SAND | Batch 1000,Distance-based,Clustering,range,15,0.9767479291204667,0.11673110825290796,0.12125805812796214,0.12125805812796214,0.4185494757046613,0.6036794730665609,38.63625334000292
ECG,Local Outlier Factor | Neighbors 10,Distance-based,Proximity,range,15,0.48272822488303746,0.22910327088008356,0.1036134088866611,0.1036134088866611,0.5471170747650784,0.9981426607553733,1.6553843599976972
ECG,OCSVM | Baseline,Density-based,Distribution,range,15,0.8005202149789973,0.5449443747515931,0.10198563575595629,0.10198563575595629,0.8557985779262002,0.9975440986650359,1.0041704533272422
ECG,OCSVM | Nu 0.10,Density-based,Distribution,range,15,0.8452413637388506,0.511165191546431,0.09687006856221518,0.09687006856221518,0.824060736088789,0.9967070407100709,1.3371361666708252
ECG,OCSVM | Train frac 0.20,Density-based,Distribution,range,15,0.8027179903926753,0.5461100622189385,0.0934861231587963,0.0934861231587963,0.8535650094898488,0.9966574541467634,1.5487849133244405
