regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
anomaly_ratio_bucket,moderate,SAND | Init 3000,41,0.8883916521148326,0.39523892428511204,0.4022063332056902,0.4022063332056902,38.37611671951074
anomaly_ratio_bucket,sparse,OCSVM | Nu 0.10,130,0.7606974683696452,0.20242786672297913,0.09063080100108892,0.09063080100108892,1.3401728646167053
anomaly_ratio_bucket,sparse,Local Outlier Factor | Baseline,131,0.8351095530431312,0.21565673854360548,0.08788269746227133,0.08788269746227133,1.6718120740480873
anomaly_ratio_bucket,sparse,Local Outlier Factor | Leaf size 60,131,0.8350942241375294,0.21565673854360548,0.08788269746227133,0.08788269746227133,1.725387389314199
anomaly_ratio_bucket,sparse,Local Outlier Factor | Search brute,131,0.835106035740322,0.21565666315005277,0.087882550325065,0.087882550325065,1.728303459540493
anomaly_ratio_bucket,sparse,Local Outlier Factor | Metric manhattan,131,0.8201567742267454,0.18205558179411221,0.07998325491008973,0.07998325491008973,19.639182828243232
anomaly_ratio_bucket,sparse,Local Outlier Factor | p = 1,131,0.8201567742267454,0.18205558179411221,0.07998325491008973,0.07998325491008973,19.342353312213344
anomaly_ratio_bucket,sparse,Local Outlier Factor | Neighbors 10,131,0.7543344103473805,0.17264808731212503,0.07488481407082281,0.07488481407082281,1.6595229396948907
anomaly_ratio_bucket,sparse,PCA | Weighted off,130,0.5690992135907302,0.1009585318406786,0.06762172534998459,0.06762172534998459,0.2629596999994156
anomaly_ratio_bucket,sparse,PCA | Standardize off,130,0.5693987402370504,0.10137280723984123,0.06683025234226385,0.06683025234226385,0.2383318438496924
anomaly_ratio_bucket,sparse,PCA | Baseline,130,0.5700773629598288,0.10132320435184594,0.0668083145297995,0.0668083145297995,0.26607248923190546
anomaly_ratio_bucket,sparse,PCA | Whiten on,130,0.5700773629598288,0.10132320435184594,0.0668083145297995,0.0668083145297995,0.2659149676919556
anomaly_ratio_bucket,sparse,PCA | Score comps 2,130,0.5701582910090247,0.10110479515490978,0.06615585575676716,0.06615585575676716,0.05434115230880422
anomaly_ratio_bucket,sparse,PCA | Components 0.95,130,0.5661296087682902,0.1006685666627045,0.06594295663744766,0.06594295663744766,0.08459533230612015
anomaly_ratio_bucket,sparse,HBOS | Baseline,130,0.5959249887191392,0.07728499365342521,0.06002094197395205,0.06002094197395205,1.020047375386751
anomaly_ratio_bucket,sparse,HBOS | Tol 0.2,130,0.5959249887191392,0.07728499365342521,0.06002094197395205,0.06002094197395205,1.003694485385159
anomaly_ratio_bucket,sparse,HBOS | Alpha 0.05,130,0.5968174241786889,0.07795743419644355,0.058256965984277265,0.058256965984277265,1.0065971176950441
anomaly_ratio_bucket,sparse,HBOS | Bins 20,130,0.6107691616585703,0.07926745975511854,0.05589096687763862,0.05589096687763862,1.0153736499968755
anomaly_ratio_bucket,sparse,Isolation Forest | Seed 7,131,0.6543309817119264,0.09091878494824521,0.054839158186208416,0.054839158186208416,0.7998831450371765
anomaly_ratio_bucket,sparse,Isolation Forest | Max feat 0.6,131,0.6504956432397387,0.09303752056677314,0.05410573682869325,0.05410573682869325,5.515425392364566
anomaly_ratio_bucket,sparse,Isolation Forest | Trees 400,131,0.6493280720439764,0.08948123856080556,0.05193218690627627,0.05193218690627627,1.5643692282435062
anomaly_ratio_bucket,sparse,Isolation Forest | Bootstrap on,131,0.6452001762939089,0.09174668082517072,0.048390998170168294,0.048390998170168294,0.7249726366413
anomaly_ratio_bucket,sparse,Isolation Forest | Baseline,131,0.643071423359858,0.09016414577894459,0.046653944682987475,0.046653944682987475,0.7927838305328201
anomaly_ratio_bucket,sparse,Isolation Forest | Max samples auto,131,0.643071423359858,0.09016414577894459,0.046653944682987475,0.046653944682987475,0.7950156587793649
anomaly_ratio_bucket,sparse,OCSVM | Kernel linear,130,0.4412290178143,0.05017524316582741,0.03818290388204083,0.03818290388204083,0.23128288692029084
length_bucket,long,OCSVM | Gamma 0.1,87,0.6974910270544098,0.2635324981041323,0.15867217118531124,0.15867217118531124,1.2828357022950805
length_bucket,long,SAND | Alpha 0.7,88,0.8830459626233932,0.213030920052973,0.1517205070206803,0.1517205070206803,51.246650718180966
length_bucket,long,SAND | Init 3000,87,0.8983079217742961,0.22276049777313997,0.1506718473968345,0.1506718473968345,47.07142493448283
length_bucket,long,SAND | Subseq x2,87,0.871912414531419,0.2285340897524544,0.14455005455899134,0.14455005455899134,25.57256873103224
length_bucket,long,SAND | k = 3,87,0.8887648436392873,0.2181287533711324,0.14406576894482984,0.14406576894482984,39.136990745977066
length_bucket,long,SAND | Overlap 64,87,0.898290854257714,0.20967771065141608,0.13509867189409902,0.13509867189409902,84.02616727586177
length_bucket,long,SAND | Baseline,88,0.8925848137859408,0.20543651865073922,0.13224000514725312,0.13224000514725312,49.18262807841165
length_bucket,long,Matrix Profile | Subseq x1,87,0.8434033124157715,0.27009417839104566,0.13077563457785055,0.13077563457785055,1.1211672816084344
length_bucket,long,Matrix Profile | Baseline,87,0.8963794961397062,0.2841360242256448,0.1275210539417503,0.1275210539417503,1.1577085528737496
